datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,date_utc,funding_rate_day_sum,funding_points_in_day
2023-03-01 00:00:00+00:00,1604.73,1670.0,1593.03,1664.46,4455452.375,7331741626.01347,2929631,2324066.979,3824859632.08268,2023-03-01,0.00020342,3
2023-03-02 00:00:00+00:00,1664.47,1677.74,1617.83,1647.29,3990138.366,6548059757.19698,2583497,1956709.243,3211565215.18678,2023-03-02,0.00027746,3
2023-03-03 00:00:00+00:00,1647.29,1648.78,1534.85,1568.86,5211938.594,8180795615.35683,3256332,2483071.768,3896228813.60607,2023-03-03,5.334e-05,3
2023-03-04 00:00:00+00:00,1568.85,1577.0,1548.0,1566.05,1814800.844,2838940116.034,1262240,893577.799,1397971725.81124,2023-03-04,0.00010737999999999999,3
2023-03-05 00:00:00+00:00,1566.05,1588.08,1552.07,1564.06,2504148.446,3930326242.67598,1545373,1253985.43,1968369953.72019,2023-03-05,0.00013768,3
2023-03-06 00:00:00+00:00,1564.06,1583.19,1553.29,1565.17,2751818.445,4310268929.36937,1727768,1379447.304,2161091565.21384,2023-03-06,0.00015308999999999999,3
2023-03-07 00:00:00+00:00,1565.17,1584.0,1524.0,1561.29,4147930.855,6464685741.27135,2468263,2059565.549,3210818386.06566,2023-03-07,0.0001387,3
2023-03-08 00:00:00+00:00,1561.3,1570.0,1520.0,1531.82,3963442.596,6153983307.15385,2437977,1995556.344,3099241328.09991,2023-03-08,0.00023659,3
2023-03-09 00:00:00+00:00,1531.81,1545.78,1402.8,1436.42,6580693.11,9821140426.08169,3481126,3121192.072,4661680475.67977,2023-03-09,0.00020326,3
2023-03-10 00:00:00+00:00,1436.42,1438.17,1367.51,1425.79,9938476.933,13998824363.90489,4977789,4917910.563,6928053239.17433,2023-03-10,-8.915e-05,3
2023-03-11 00:00:00+00:00,1425.8,1478.0,1407.48,1471.03,7155608.693,10335156488.57957,4150431,3622182.935,5232586413.22043,2023-03-11,1.707e-05,3
2023-03-12 00:00:00+00:00,1471.03,1597.29,1446.65,1579.26,6809861.012,10289085088.51228,4139321,3544200.52,5357469286.14255,2023-03-12,3.318000000000001e-05,3
2023-03-13 00:00:00+00:00,1579.26,1700.0,1564.18,1673.9,9437876.215,15324628550.22331,5874928,4800183.688,7795655975.59044,2023-03-13,0.00030000000000000003,3
2023-03-14 00:00:00+00:00,1673.91,1779.05,1655.0,1699.93,9038833.861,15496848069.26033,6100882,4499611.749,7716090371.20928,2023-03-14,0.00030000000000000003,3
2023-03-15 00:00:00+00:00,1699.93,1718.34,1611.63,1649.81,7616093.701,12666499395.59632,5456820,3762636.597,6257576939.22335,2023-03-15,0.00060094,3
2023-03-16 00:00:00+00:00,1649.82,1693.0,1632.0,1672.56,4599500.477,7617308540.09723,3550128,2322352.389,3846757149.13228,2023-03-16,0.00030000000000000003,3
2023-03-17 00:00:00+00:00,1672.57,1801.22,1661.57,1789.21,6694758.759,11584029077.18723,4937836,3449318.728,5969764530.49026,2023-03-17,0.00021905,3
2023-03-18 00:00:00+00:00,1789.21,1846.15,1745.0,1758.52,5475097.503,9841499219.83983,4078321,2708359.036,4869534335.415,2023-03-18,0.00030000000000000003,3
