datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2025-04-09 00:00:00+00:00,1473.41,1689.0,1385.05,1669.51,1968530.9138,2995077137.626647,4723847,990740.8363,1508747907.727771,0.133092621877142,0.12495072793418771,0.2062901704209962,303.95000000000005,142.20428571428573,0.8491385977726876
2025-04-10 00:00:00+00:00,1669.51,1669.85,1471.02,1522.25,911855.3934,1425649915.894919,3007121,454828.2592,711164539.487151,-0.08820552138052484,-0.09234066669439756,0.11909482422986381,198.82999999999993,152.81214285714285,0.8901925820146416
2025-04-11 00:00:00+00:00,1522.24,1591.47,1504.63,1566.85,578484.3183,901210974.608363,2547292,305707.1748,476514872.298804,0.029298735424535982,0.02887773097149715,0.05704713417638359,86.83999999999992,147.87714285714284,0.8989813907400808
2025-04-12 00:00:00+00:00,1566.85,1669.59,1546.06,1644.18,501867.9033,813176435.313973,2177800,266899.4092,432987094.823904,0.04935379902351866,0.048174545213551134,0.07883971024667324,123.52999999999997,148.38642857142855,0.9165227685852448
2025-04-13 00:00:00+00:00,1644.19,1649.75,1562.01,1597.76,580136.6145,931598664.2918552,2597350,281372.538,452135764.61108303,-0.02823291853689991,-0.028639131361487102,0.05336398691140873,87.74000000000001,148.845,0.9147135014826412
2025-04-14 00:00:00+00:00,1597.76,1691.5,1595.56,1623.77,645930.1419,1062426756.849636,2975844,332185.1295,546536662.981744,0.016279040656919763,0.01614795776376088,0.06004656519126781,95.94000000000005,150.16428571428574,0.9155037863634947
2025-04-15 00:00:00+00:00,1623.78,1661.21,1583.12,1588.78,476178.8915,774210116.7106249,2283302,232389.8503,377978352.55460703,-0.02154861833880417,-0.02178417998114579,0.04809178639832005,78.09000000000015,147.88357142857143,0.9143641892989647
2025-04-16 00:00:00+00:00,1588.77,1613.66,1538.07,1577.14,611387.8686,965271509.893183,2645419,311107.7903,491272640.364742,-0.007326376213194985,-0.007353345914930642,0.04757738642228637,75.59000000000015,140.74928571428572,0.9097676310334187
2025-04-17 00:00:00+00:00,1577.15,1616.96,1563.2,1583.62,449870.3628,716711483.143345,1871114,226961.4241,361610704.8212311,0.004108703095476507,0.004100285424177841,0.03408701827358382,53.75999999999999,137.78500000000003,0.9099398757470909
2025-04-18 00:00:00+00:00,1583.63,1600.64,1573.54,1588.6,200409.0359,317931022.839473,889028,99073.5374,157166748.966902,0.003144693802806131,0.0031397595949247403,0.017112691175913502,27.100000000000136,134.22357142857146,0.875066235582977
