datetime_utc,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,ret_1d,logret_1d,range,true_range,atr_14,vol_30
2020-11-24 00:00:00+00:00,18368.01,19418.97,18018.0,19160.01,113581.509241,2145301450.4579408,2179862,58179.200882,1098976481.1257048,0.043119011324041834,0.04221527432609129,0.07627232142857149,1400.9700000000012,904.5971428571428,0.5797317689598616
2020-11-25 00:00:00+00:00,19160.0,19484.21,18500.27,18719.11,93266.576887,1774870796.2882328,1785408,44575.076758,848724583.3300526,-0.023011470244535204,-0.023280367279035374,0.05135383541031548,983.9399999999987,925.4271428571427,0.5922874748036899
2020-11-26 00:00:00+00:00,18718.83,18915.03,16188.0,17149.47,181005.246693,3127314143.1045747,2770483,84478.809131,1459155975.9531505,-0.08385227716488652,-0.0875776578398817,0.14568160558915455,2727.029999999999,1055.9249999999997,0.6691612721355784
2020-11-27 00:00:00+00:00,17149.47,17457.62,16438.08,17139.52,85297.024787,1446670351.435088,1572299,42507.358433,720985570.3407376,-0.000580192857272066,-0.0005803612342791808,0.059450233739001684,1019.5399999999972,1091.0599999999995,0.6578098883808746
2020-11-28 00:00:00+00:00,17139.53,17880.49,16865.56,17719.85,64910.69997,1128061605.107225,1209385,31785.706898,552044705.3606101,0.033859174585985974,0.03329857201976871,0.059215777337988475,1014.9300000000003,1116.6271428571424,0.6632576473427688
2020-11-29 00:00:00+00:00,17719.84,18360.05,17517.0,18184.99,55329.016303,996743798.8649216,1141289,27883.985296,502287686.119384,0.02624965786956457,0.025911048405214743,0.04757658783793313,843.0499999999993,1147.896428571428,0.6656742634320386
2020-11-30 00:00:00+00:00,18185.0,19863.16,18184.99,19695.87,115463.466888,2205929119.505336,1744149,61033.414903,1166943549.1842444,0.08308390601259585,0.07981244056034242,0.09228325118683035,1678.1699999999983,1195.1942857142851,0.7121866541762203
2020-12-01 00:00:00+00:00,19695.87,19888.0,18001.12,18764.96,127698.762652,2446070334.8287983,2023802,63805.392898,1223282816.3192167,-0.047264223413334916,-0.04841766813869519,0.09580079478591202,1886.880000000001,1235.6271428571422,0.7407721600944731
2020-12-02 00:00:00+00:00,18764.96,19342.0,18330.0,19204.09,75911.013478,1436895344.8259497,1566635,36421.690398,689901298.5700688,0.023401595313818913,0.023131976224672002,0.05393030414133577,1012.0,1217.7357142857138,0.7356338998305735
2020-12-03 00:00:00+00:00,19204.08,19598.0,18867.2,19421.9,66689.391279,1286548310.8267057,1242229,33868.341698,653783366.9045953,0.011341854781976135,0.01127801817722407,0.03805439362135875,730.7999999999993,1209.6392857142853,0.7311042979878796
